72# Number of electrodes
# x z position for each electrode
0.0	299.29
1.0	299.20
2.0	299.10
3.0	298.98
4.0	298.85
5.0	298.72
6.0	298.58
7.0	298.50
8.0	298.42
9.0	298.32
10.0	298.21
11.0	298.21
12.0	298.21
13.0	298.21
14.0	298.20
15.0	298.19
16.0	298.18
17.0	298.12
18.0	298.05
19.0	297.99
20.0	297.93
21.0	297.84
22.0	297.74
23.0	297.58
24.0	297.42
25.0	297.43
26.0	297.44
27.0	297.38
28.0	297.31
29.0	297.19
30.0	297.06
31.0	296.98
32.0	296.89
33.0	296.73
34.0	296.56
35.0	296.49
36.0	296.41
37.0	296.36
38.0	296.30
39.0	296.21
40.0	296.12
41.0	296.04
42.0	295.95
43.0	295.86
44.0	295.76
45.0	295.67
46.0	295.58
47.0	295.44
48.0	295.29
49.0	295.23
50.0	295.17
51.0	295.17
52.0	295.16
53.0	295.12
54.0	295.08
55.0	295.04
56.0	295.00
57.0	294.98
58.0	294.95
59.0	294.81
60.0	294.66
61.0	294.51
62.0	294.36
63.0	294.48
64.0	294.60
65.0	294.57
66.0	294.54
67.0	294.30
68.0	293.80
69.0	293.70
70.0	293.63
71.0	293.67
2949# Number of data
# a b m n i/mA u/mV
4	13	57	66	142.811406	-7.027126
4	13	66	58	142.811406	6.140905
4	13	58	67	142.811406	-6.588409
4	13	67	59	142.811406	5.537387
4	13	59	68	142.811406	-6.062340
5	6	7	8	91.567309	-1616.044381
5	6	8	9	91.567309	-259.457223
5	6	9	10	91.567309	-91.426744
5	6	10	11	91.567309	-40.965578
5	6	11	12	91.567309	-19.833546
5	6	12	13	91.567309	-10.791197
5	7	13	15	150.645309	-60.405271
5	7	15	17	150.645309	-20.934605
5	7	17	19	150.645309	-12.465297
5	7	19	14	150.645309	58.751061
5	7	14	16	150.645309	-36.898007
5	7	16	18	150.645309	-16.530071
5	7	18	20	150.645309	-9.687985
5	8	19	22	143.342606	-15.712135
5	8	22	25	143.342606	-8.973513
5	8	25	20	143.342606	17.829260
5	8	20	23	143.342606	-12.671862
5	8	23	26	143.342606	-7.451818
5	8	26	21	143.342606	15.243637
5	8	21	24	143.342606	-10.578220
5	8	24	27	143.342606	-6.583735
5	9	25	29	168.614014	-11.367586
5	9	29	33	168.614014	-7.710712
5	9	33	26	168.614014	15.391211
5	9	26	30	168.614014	-9.727418
5	9	30	34	168.614014	-7.541817
5	9	34	27	168.614014	14.127522
5	9	27	31	168.614014	-8.535266
5	9	31	28	168.614014	6.270860
5	9	28	32	168.614014	-8.050761
5	10	31	36	176.487249	-12.512591
5	10	36	41	176.487249	-8.428496
5	10	41	32	176.487249	18.513656
5	10	32	37	176.487249	-11.962070
5	10	37	33	176.487249	9.356987
5	10	33	38	176.487249	-11.288752
5	10	38	34	176.487249	8.734366
5	10	34	39	176.487249	-10.462286
5	10	39	35	176.487249	8.145158
5	10	35	40	176.487249	-9.535017
5	11	37	43	124.704722	-8.089213
5	11	43	38	124.704722	6.387516
5	11	38	44	124.704722	-7.689842
5	11	44	39	124.704722	6.171026
5	11	39	45	124.704722	-7.318343
5	11	45	40	124.704722	6.092117
5	11	40	46	124.704722	-7.256214
5	11	46	41	124.704722	5.940068
5	11	41	47	124.704722	-6.926481
5	11	47	42	124.704722	5.790423
5	11	42	48	124.704722	-6.716929
5	12	43	50	175.483810	-11.850433
5	12	50	44	175.483810	9.693028
5	12	44	51	175.483810	-10.751429
5	12	51	45	175.483810	8.834534
5	12	45	52	175.483810	-9.926479
5	12	52	46	175.483810	7.985378
5	12	46	53	175.483810	-9.225656
5	12	53	47	175.483810	7.575414
5	12	47	54	175.483810	-8.798696
5	12	54	48	175.483810	7.251265
5	12	48	55	175.483810	-8.351763
5	13	49	57	164.641688	-10.041179
5	13	57	50	164.641688	8.503971
5	13	50	58	164.641688	-9.322758
5	13	58	51	164.641688	8.055622
5	13	51	59	164.641688	-9.139014
5	13	59	52	164.641688	7.937651
5	13	52	60	164.641688	-9.066252
5	13	60	53	164.641688	7.699852
5	13	53	61	164.641688	-8.700233
5	13	61	54	164.641688	7.358747
5	13	54	62	164.641688	-8.311162
5	14	55	64	150.728846	-8.994704
5	14	64	56	150.728846	7.875100
5	14	56	65	150.728846	-8.349794
5	14	65	57	150.728846	7.293188
5	14	57	66	150.728846	-7.794122
5	14	66	58	150.728846	6.807232
5	14	58	67	150.728846	-7.299548
5	14	67	59	150.728846	6.136201
5	14	59	68	150.728846	-6.699985
5	14	68	60	150.728846	5.491398
5	14	60	69	150.728846	-6.039974
6	7	8	9	128.112713	-2115.014808
6	7	9	10	128.112713	-407.330087
6	7	10	11	128.112713	-140.116347
6	7	11	12	128.112713	-53.739678
6	7	12	13	128.112713	-27.456647
6	7	13	14	128.112713	-18.943967
6	8	14	16	122.337390	-44.185987
6	8	16	18	122.337390	-17.879457
6	8	18	20	122.337390	-9.843747
6	8	20	15	122.337390	41.384884
6	8	15	17	122.337390	-24.161005
6	8	17	19	122.337390	-12.867758
6	8	19	21	122.337390	-7.323110
6	9	20	23	139.602519	-14.784166
6	9	23	26	139.602519	-7.666591
6	9	26	21	139.602519	16.801233
6	9	21	24	139.602519	-11.877150
6	9	24	27	139.602519	-6.947873
6	9	27	22	139.602519	14.332286
6	9	22	25	139.602519	-9.943050
6	9	25	28	139.602519	-5.891923
6	10	26	30	144.929418	-9.501865
6	10	30	34	144.929418	-6.591411
6	10	34	27	144.929418	13.067937
6	10	27	31	144.929418	-7.978287
6	10	31	35	144.929418	-6.765595
6	10	35	28	144.929418	12.574349
6	10	28	32	144.929418	-7.429555
6	10	32	29	144.929418	5.430332
6	10	29	33	144.929418	-7.221943
6	11	32	37	108.698446	-7.984925
6	11	37	42	108.698446	-4.990534
6	11	42	33	108.698446	11.228613
6	11	33	38	108.698446	-7.393356
6	11	38	34	108.698446	5.696857
6	11	34	39	108.698446	-6.818249
6	11	39	35	108.698446	5.298212
6	11	35	40	108.698446	-6.195950
6	11	40	36	108.698446	4.593345
6	11	36	41	108.698446	-5.558358
6	12	38	44	144.706477	-9.463139
6	12	44	39	144.706477	7.619298
6	12	39	45	144.706477	-8.793285
6	12	45	40	144.706477	7.323989
6	12	40	46	144.706477	-8.715767
6	12	46	41	144.706477	7.131343
6	12	41	47	144.706477	-8.312298
6	12	47	42	144.706477	6.935104
6	12	42	48	144.706477	-8.044049
6	12	48	43	144.706477	6.601468
6	12	43	49	144.706477	-7.420460
6	13	44	51	137.092601	-8.890698
